Albedo	NDVI_StdDev_Antalya	DEM	Aspect	Land_Cover	Precipitation	Slope	Soil_Organic_Carbon	Soil_pH	SoilpH	LST	Clay_Content	SoilTexture	LandUse	Annual_Temperature
169.357143	0.094391	152	140.4212	50	837.410093	3.605321	291	73.333333	79	316.554758	267.333333	4	50	25.195833
145.463415	0.075842	146	248.0384	50	801.088225	2.478475	274.666667	71.333333	78	316.452218	260.333333	4	50	25.195833
141.902439	0.100158	409	90	50	834.2091	5.732192	287	72.666667	77	313.376	246.666667	4	50	23.952083
149.666667	0.123426	319	270	50	834.2091	1.150083	303.333333	71.666667	75	311.766112	265	4	50	23.952083
154.682927	0.080039	461	128.8799	30	778.158657	5.889674	292.333333	72.666667	78	317.357993	231.333333	4	30	23.952083
130	0.104647	478	153.6138	40	778.158657	10.24302	286.333333	71.666667	77	314.025424	243	7	30	23.952083
162.75	0.123099	104	211.7883	50	804.49415	2.181276	336.666667	71.666667	78	316.247137	231.333333	4	50	25.360417
162.272727	0.170862	100	148.2134	60	804.49415	2.181235	320	71.666667	80	318.236424	253	4	50	25.360417
160.928571	0.14371	103	328.2125	40	804.49415	2.181257	291.333333	72	77	319.19347	247	7	40	25.360417
168.384615	0.126553	104	219.5677	60	804.49415	3.60475	319	71.666667	77	316.22321	247	7	50	25.360417
167.097561	0.123856	106	197.2169	50	804.49415	3.878069	326.333333	72	78	315.703671	239.666667	4	50	25.360417
165.666667	0.161619	99	0	50	804.49415	2.780288	299	71.666667	78	319.22765	253.333333	7	50	25.360417
130.707317	0.118987	110	0	50	804.49415	1.854334	318.333333	70.666667	77	321.134905	236	7	50	24.81875
152.95122	0.074315	110	140.4307	60	813.01528	7.181341	312	70.333333	75	315.700253	239.666667	4	30	24.79375
238.575	0.169724	7	90	50	862.4553	1.149936	<Null>	<Null>	74	315.457574	<Null>	7	50	25.597917
194.90625	0.120157	7	68.03982	50	857.367231	2.478626	<Null>	<Null>	76	313.540065	<Null>	7	50	25.597917
187.772727	0.119353	4	270	50	862.4553	2.2988	<Null>	<Null>	0	315.231985	<Null>	0	50	25.597917
194.833333	0.119741	3	128.8857	60	862.4553	4.423507	<Null>	<Null>	75	317.316977	<Null>	4	30	25.597917
208.341463	0.178353	6	231.1124	50	862.4553	2.952142	<Null>	<Null>	72	315.502008	<Null>	7	50	25.552083
197.516129	0.085961	3	231.1103	50	862.4553	1.476984	<Null>	<Null>	72	316.007875	<Null>	7	50	25.552083
